state,date,ML,Low_90,High_90,Low_50,High_50
DL,2020-04-08,2.09,1.12,3.0100000000000002,1.68,2.46
DL,2020-04-09,1.74,0.96,2.45,1.35,1.97
DL,2020-04-10,2.0300000000000002,1.31,2.65,1.71,2.2600000000000002
DL,2020-04-11,1.81,1.1500000000000001,2.39,1.51,2.02
DL,2020-04-12,1.52,0.88,2.08,1.26,1.75
DL,2020-04-13,1.1400000000000001,0.52,1.71,0.86,1.35
DL,2020-04-14,0.56,0.0,1.06,0.31,0.78
DL,2020-04-15,0.31,0.0,0.88,0.08,0.48
DL,2020-04-16,0.37,0.0,0.93,0.1,0.53
DL,2020-04-17,0.41000000000000003,0.0,0.99,0.14,0.59
DL,2020-04-18,0.87,0.17,1.5,0.5700000000000001,1.1300000000000001
DL,2020-04-19,1.04,0.34,1.7,0.7000000000000001,1.27
DL,2020-04-20,0.97,0.26,1.6,0.65,1.21
DL,2020-04-21,1.0,0.26,1.61,0.68,1.24
DL,2020-04-22,0.97,0.24,1.58,0.64,1.2
DL,2020-04-23,1.45,0.75,2.09,1.1400000000000001,1.69
DL,2020-04-24,1.75,1.08,2.35,1.47,1.99
DL,2020-04-25,1.86,1.24,2.44,1.54,2.04
DL,2020-04-26,1.81,1.19,2.34,1.55,2.02
DL,2020-04-27,1.67,1.08,2.19,1.3800000000000001,1.84
GJ,2020-04-08,2.7800000000000002,1.48,4.0,2.16,3.21
GJ,2020-04-09,2.2800000000000002,1.3,3.2,1.8,2.59
GJ,2020-04-10,1.98,1.11,2.77,1.55,2.24
GJ,2020-04-11,1.7,0.91,2.46,1.32,1.96
GJ,2020-04-12,1.56,0.78,2.2800000000000002,1.19,1.81
GJ,2020-04-13,1.55,0.77,2.24,1.16,1.77
GJ,2020-04-14,1.71,0.9400000000000001,2.37,1.35,1.94
GJ,2020-04-15,2.12,1.41,2.7600000000000002,1.77,2.33
GJ,2020-04-16,2.56,1.9100000000000001,3.15,2.27,2.7800000000000002
GJ,2020-04-17,2.49,1.9000000000000001,3.0300000000000002,2.19,2.66
GJ,2020-04-18,2.24,1.67,2.73,1.96,2.4
GJ,2020-04-19,1.86,1.31,2.33,1.6,2.02
GJ,2020-04-20,1.43,0.88,1.8900000000000001,1.16,1.58
GJ,2020-04-21,1.1,0.58,1.59,0.84,1.26
GJ,2020-04-22,0.9,0.35000000000000003,1.3800000000000001,0.62,1.05
GJ,2020-04-23,0.81,0.26,1.3,0.5700000000000001,1.0
GJ,2020-04-24,0.9500000000000001,0.4,1.46,0.68,1.12
GJ,2020-04-25,1.02,0.45,1.51,0.74,1.18
GJ,2020-04-26,1.06,0.52,1.57,0.84,1.27
GJ,2020-04-27,1.09,0.52,1.57,0.8300000000000001,1.26
KA,2020-04-14,2.7800000000000002,1.1400000000000001,4.59,1.99,3.44
KA,2020-04-15,2.59,1.17,3.96,1.93,3.09
KA,2020-04-16,2.27,1.02,3.43,1.67,2.67
KA,2020-04-17,2.0,0.84,3.0500000000000003,1.48,2.39
KA,2020-04-18,1.58,0.47000000000000003,2.56,1.05,1.92
KA,2020-04-19,1.23,0.17,2.14,0.72,1.57
KA,2020-04-20,0.92,0.0,1.79,0.4,1.22
KA,2020-04-21,0.72,0.0,1.69,0.32,1.1
KA,2020-04-22,0.88,0.0,1.84,0.39,1.23
KA,2020-04-23,0.9500000000000001,0.0,1.9000000000000001,0.46,1.32
KA,2020-04-24,1.01,0.03,1.97,0.46,1.34
KA,2020-04-25,0.9,0.0,1.86,0.4,1.25
KA,2020-04-26,0.8,0.0,1.8,0.38,1.2
KA,2020-04-27,0.5700000000000001,0.0,1.6300000000000001,0.21,0.9500000000000001
MH,2020-04-08,1.59,0.86,2.33,1.24,1.85
MH,2020-04-09,1.48,0.8200000000000001,2.04,1.19,1.69
MH,2020-04-10,1.55,0.98,2.1,1.3,1.76
MH,2020-04-11,1.6600000000000001,1.09,2.16,1.4000000000000001,1.84
MH,2020-04-12,1.67,1.12,2.15,1.44,1.86
MH,2020-04-13,1.58,1.04,2.04,1.34,1.75
MH,2020-04-14,1.29,0.77,1.75,1.02,1.43
MH,2020-04-15,1.09,0.55,1.54,0.8300000000000001,1.24
MH,2020-04-16,1.17,0.63,1.62,0.91,1.32
MH,2020-04-17,1.34,0.8300000000000001,1.8,1.1,1.5
MH,2020-04-18,1.74,1.26,2.19,1.49,1.8800000000000001
MH,2020-04-19,1.92,1.45,2.33,1.72,2.08
MH,2020-04-20,1.98,1.54,2.37,1.79,2.13
MH,2020-04-21,1.74,1.3,2.1,1.53,1.86
MH,2020-04-22,1.6,1.18,1.96,1.41,1.73
MH,2020-04-23,1.32,0.89,1.6600000000000001,1.1,1.42
MH,2020-04-24,1.19,0.79,1.55,0.98,1.3
MH,2020-04-25,1.05,0.65,1.41,0.8300000000000001,1.1500000000000001
MH,2020-04-26,0.99,0.56,1.33,0.78,1.1
MH,2020-04-27,0.78,0.36,1.1400000000000001,0.59,0.91
MP,2020-04-08,1.86,0.79,2.99,1.33,2.25
MP,2020-04-09,1.44,0.53,2.33,0.99,1.74
MP,2020-04-10,1.26,0.35000000000000003,2.04,0.86,1.56
MP,2020-04-11,1.33,0.48,2.13,0.98,1.6600000000000001
MP,2020-04-12,1.71,0.87,2.47,1.31,1.97
MP,2020-04-13,2.16,1.3800000000000001,2.87,1.84,2.45
MP,2020-04-14,2.45,1.71,3.08,2.13,2.69
MP,2020-04-15,2.27,1.6,2.86,1.95,2.47
MP,2020-04-16,1.76,1.11,2.32,1.45,1.95
MP,2020-04-17,1.18,0.53,1.74,0.87,1.37
MP,2020-04-18,0.58,0.0,1.08,0.31,0.79
MP,2020-04-19,0.12,0.0,0.74,0.0,0.31
MP,2020-04-20,0.12,0.0,0.7000000000000001,0.0,0.29
MP,2020-04-21,0.4,0.0,0.97,0.13,0.5700000000000001
MP,2020-04-22,0.81,0.14,1.48,0.51,1.08
MP,2020-04-23,1.3800000000000001,0.61,2.07,1.04,1.6400000000000001
MP,2020-04-24,1.5,0.75,2.15,1.1300000000000001,1.71
MP,2020-04-25,1.48,0.75,2.1,1.19,1.74
MP,2020-04-26,1.36,0.65,1.97,1.05,1.59
MP,2020-04-27,1.1400000000000001,0.46,1.76,0.8,1.34
RJ,2020-04-08,2.37,1.25,3.46,1.84,2.7600000000000002
RJ,2020-04-09,2.16,1.25,2.97,1.73,2.44
RJ,2020-04-10,1.93,1.1300000000000001,2.64,1.57,2.19
RJ,2020-04-11,1.76,1.01,2.42,1.42,2.0
RJ,2020-04-12,1.53,0.81,2.17,1.2,1.76
RJ,2020-04-13,1.22,0.49,1.84,0.86,1.42
RJ,2020-04-14,0.97,0.25,1.59,0.63,1.19
RJ,2020-04-15,0.84,0.13,1.45,0.47000000000000003,1.04
RJ,2020-04-16,0.96,0.21,1.59,0.62,1.2
RJ,2020-04-17,1.1,0.36,1.76,0.78,1.36
RJ,2020-04-18,1.31,0.5700000000000001,1.96,0.99,1.56
RJ,2020-04-19,1.5,0.8,2.14,1.19,1.74
RJ,2020-04-20,1.44,0.75,2.05,1.1,1.6400000000000001
RJ,2020-04-21,1.23,0.54,1.82,0.9,1.43
RJ,2020-04-22,0.92,0.28,1.54,0.6,1.1300000000000001
RJ,2020-04-23,0.66,0.02,1.2,0.34,0.86
RJ,2020-04-24,0.47000000000000003,0.0,1.06,0.15,0.64
RJ,2020-04-25,0.4,0.0,1.0,0.11,0.5700000000000001
RJ,2020-04-26,0.45,0.0,1.06,0.19,0.67
RJ,2020-04-27,0.64,0.02,1.26,0.3,0.85
TG,2020-04-08,1.45,0.43,2.7,0.91,1.86
TG,2020-04-09,1.17,0.17,2.15,0.6900000000000001,1.53
TG,2020-04-10,1.2,0.2,2.15,0.68,1.52
TG,2020-04-11,1.32,0.27,2.25,0.8200000000000001,1.6600000000000001
TG,2020-04-12,1.35,0.29,2.25,0.93,1.75
TG,2020-04-13,1.52,0.48,2.43,1.04,1.85
TG,2020-04-14,1.57,0.58,2.47,1.12,1.9000000000000001
TG,2020-04-15,1.51,0.54,2.37,1.04,1.8
TG,2020-04-16,1.5,0.54,2.33,1.05,1.79
TG,2020-04-17,1.32,0.4,2.14,0.93,1.6500000000000001
TG,2020-04-18,1.23,0.29,2.0100000000000002,0.8,1.52
TG,2020-04-19,1.08,0.18,1.85,0.7000000000000001,1.41
TG,2020-04-20,0.8300000000000001,0.0,1.54,0.41000000000000003,1.1
TG,2020-04-21,0.59,0.0,1.3900000000000001,0.21,0.85
TG,2020-04-22,0.43,0.0,1.26,0.15,0.72
TG,2020-04-23,0.32,0.0,1.1400000000000001,0.03,0.53
TG,2020-04-24,0.31,0.0,1.1,0.03,0.51
TG,2020-04-25,0.27,0.0,1.05,0.0,0.45
TG,2020-04-26,0.31,0.0,1.1,0.0,0.48
TG,2020-04-27,0.3,0.0,1.1,0.0,0.48
TN,2020-04-08,1.6400000000000001,0.64,2.64,1.18,2.0100000000000002
TN,2020-04-09,1.58,0.72,2.42,1.2,1.9000000000000001
TN,2020-04-10,1.5,0.67,2.24,1.1,1.75
TN,2020-04-11,1.3,0.51,2.0100000000000002,0.93,1.55
TN,2020-04-12,1.1400000000000001,0.36,1.83,0.79,1.4000000000000001
TN,2020-04-13,0.8200000000000001,0.07,1.45,0.46,1.06
TN,2020-04-14,0.55,0.0,1.21,0.19,0.75
TN,2020-04-15,0.39,0.0,1.09,0.08,0.58
TN,2020-04-16,0.45,0.0,1.1500000000000001,0.2,0.72
TN,2020-04-17,0.62,0.0,1.32,0.3,0.89
TN,2020-04-18,1.0,0.18,1.75,0.63,1.3
TN,2020-04-19,1.1400000000000001,0.28,1.8800000000000001,0.76,1.43
TN,2020-04-20,1.09,0.28,1.84,0.7000000000000001,1.36
TN,2020-04-21,0.98,0.18,1.7,0.6,1.25
TN,2020-04-22,0.9400000000000001,0.12,1.6300000000000001,0.55,1.2
TN,2020-04-23,0.9,0.12,1.61,0.51,1.16
TN,2020-04-24,0.99,0.18,1.71,0.58,1.24
TN,2020-04-25,1.01,0.18,1.72,0.6,1.26
TN,2020-04-26,1.03,0.21,1.75,0.61,1.27
TN,2020-04-27,0.98,0.15,1.67,0.58,1.23
UP,2020-04-08,1.6600000000000001,0.53,2.91,1.1400000000000001,2.13
UP,2020-04-09,1.42,0.37,2.43,0.91,1.77
UP,2020-04-10,1.37,0.35000000000000003,2.31,0.9,1.72
UP,2020-04-11,1.6300000000000001,0.62,2.56,1.17,1.97
UP,2020-04-12,1.9100000000000001,0.9500000000000001,2.79,1.45,2.21
UP,2020-04-13,2.0300000000000002,1.12,2.84,1.6,2.31
UP,2020-04-14,1.97,1.11,2.73,1.56,2.23
UP,2020-04-15,1.9100000000000001,1.09,2.63,1.56,2.19
UP,2020-04-16,1.78,1.0,2.48,1.41,2.02
UP,2020-04-17,1.62,0.87,2.31,1.31,1.9000000000000001
UP,2020-04-18,1.67,0.92,2.33,1.33,1.9100000000000001
UP,2020-04-19,1.68,0.9400000000000001,2.31,1.37,1.93
UP,2020-04-20,1.52,0.8300000000000001,2.16,1.19,1.74
UP,2020-04-21,1.35,0.64,1.96,1.05,1.59
UP,2020-04-22,1.22,0.54,1.85,0.91,1.45
UP,2020-04-23,1.11,0.43,1.74,0.81,1.35
UP,2020-04-24,1.12,0.4,1.72,0.76,1.31
UP,2020-04-25,1.07,0.39,1.7,0.79,1.33
UP,2020-04-26,1.06,0.38,1.69,0.71,1.26
UP,2020-04-27,1.08,0.39,1.7,0.78,1.32
WB,2020-04-13,2.6,1.02,4.39,1.8,3.22
WB,2020-04-14,2.41,1.02,3.79,1.79,2.94
WB,2020-04-15,2.17,0.93,3.37,1.59,2.6
WB,2020-04-16,1.95,0.78,3.0300000000000002,1.4000000000000001,2.33
WB,2020-04-17,1.73,0.61,2.75,1.26,2.14
WB,2020-04-18,1.69,0.6,2.68,1.18,2.04
WB,2020-04-19,1.7,0.63,2.66,1.19,2.0300000000000002
WB,2020-04-20,1.69,0.62,2.6,1.24,2.05
WB,2020-04-21,1.71,0.6900000000000001,2.61,1.24,2.0300000000000002
WB,2020-04-22,1.67,0.68,2.54,1.19,1.96
WB,2020-04-23,1.62,0.66,2.47,1.24,1.98
WB,2020-04-24,1.54,0.59,2.36,1.1,1.83
WB,2020-04-25,1.43,0.49,2.23,0.99,1.71
WB,2020-04-26,1.32,0.4,2.11,0.9,1.61
WB,2020-04-27,1.19,0.3,1.98,0.75,1.46
